song_id,segment_id,transformation,metric,metric_parameters,value
007,01,interval_modification,edit_distance,{},0.740741
007,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.405405
007,01,interval_modification,longest_common_subsequence,{},0.777778
007,01,ornamentation,edit_distance,{},0.718750
007,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.461538
007,01,ornamentation,longest_common_subsequence,{},0.718750
007,01,simplification,edit_distance,{},0.629630
007,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.363636
007,01,simplification,longest_common_subsequence,{},0.629630
007,01,transpose,edit_distance,{},1.000000
007,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
007,01,transpose,longest_common_subsequence,{},1.000000
007,02,interval_modification,edit_distance,{},0.750000
007,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.372549
007,02,interval_modification,longest_common_subsequence,{},0.750000
007,02,ornamentation,edit_distance,{},0.674419
007,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.425926
007,02,ornamentation,longest_common_subsequence,{},0.674419
007,02,simplification,edit_distance,{},0.555556
007,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.326087
007,02,simplification,longest_common_subsequence,{},0.583333
007,02,transpose,edit_distance,{},1.000000
007,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
007,02,transpose,longest_common_subsequence,{},1.000000
026,01,interval_modification,edit_distance,{},0.750000
026,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.428571
026,01,interval_modification,longest_common_subsequence,{},0.750000
026,01,ornamentation,edit_distance,{},0.684211
026,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.434783
026,01,ornamentation,longest_common_subsequence,{},0.684211
026,01,simplification,edit_distance,{},0.562500
026,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.300000
026,01,simplification,longest_common_subsequence,{},0.562500
026,01,transpose,edit_distance,{},1.000000
026,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
026,01,transpose,longest_common_subsequence,{},1.000000
026,02,interval_modification,edit_distance,{},0.750000
026,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.500000
026,02,interval_modification,longest_common_subsequence,{},0.812500
026,02,ornamentation,edit_distance,{},0.736842
026,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.500000
026,02,ornamentation,longest_common_subsequence,{},0.736842
026,02,simplification,edit_distance,{},0.562500
026,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.300000
026,02,simplification,longest_common_subsequence,{},0.562500
026,02,transpose,edit_distance,{},1.000000
026,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
026,02,transpose,longest_common_subsequence,{},1.000000
028,01,interval_modification,edit_distance,{},0.727273
028,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.354839
028,01,interval_modification,longest_common_subsequence,{},0.727273
028,01,ornamentation,edit_distance,{},0.730769
028,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.483871
028,01,ornamentation,longest_common_subsequence,{},0.730769
028,01,simplification,edit_distance,{},0.545455
028,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.285714
028,01,simplification,longest_common_subsequence,{},0.545455
028,01,transpose,edit_distance,{},1.000000
028,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
028,01,transpose,longest_common_subsequence,{},1.000000
028,02,interval_modification,edit_distance,{},0.760000
028,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.454545
028,02,interval_modification,longest_common_subsequence,{},0.760000
028,02,ornamentation,edit_distance,{},0.733333
028,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.472222
028,02,ornamentation,longest_common_subsequence,{},0.733333
028,02,simplification,edit_distance,{},0.680000
028,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.448276
028,02,simplification,longest_common_subsequence,{},0.680000
028,02,transpose,edit_distance,{},1.000000
028,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
028,02,transpose,longest_common_subsequence,{},1.000000
031,01,interval_modification,edit_distance,{},0.769231
031,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.500000
031,01,interval_modification,longest_common_subsequence,{},0.769231
031,01,ornamentation,edit_distance,{},0.625000
031,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.421053
031,01,ornamentation,longest_common_subsequence,{},0.625000
031,01,simplification,edit_distance,{},0.461538
031,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.250000
031,01,simplification,longest_common_subsequence,{},0.538462
031,01,transpose,edit_distance,{},1.000000
031,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
031,01,transpose,longest_common_subsequence,{},1.000000
031,02,interval_modification,edit_distance,{},0.714286
031,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.368421
031,02,interval_modification,longest_common_subsequence,{},0.714286
031,02,ornamentation,edit_distance,{},0.705882
031,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.526316
031,02,ornamentation,longest_common_subsequence,{},0.705882
031,02,simplification,edit_distance,{},0.714286
031,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.466667
031,02,simplification,longest_common_subsequence,{},0.714286
031,02,transpose,edit_distance,{},1.000000
031,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
031,02,transpose,longest_common_subsequence,{},1.000000
033,01,interval_modification,edit_distance,{},1.000000
033,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",1.000000
033,01,interval_modification,longest_common_subsequence,{},1.000000
033,01,ornamentation,edit_distance,{},1.000000
033,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",1.000000
033,01,ornamentation,longest_common_subsequence,{},1.000000
033,01,simplification,edit_distance,{},1.000000
033,01,simplification,interval_ngram_similarity,"{""n"": 2}",1.000000
033,01,simplification,longest_common_subsequence,{},1.000000
033,01,transpose,edit_distance,{},1.000000
033,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
033,01,transpose,longest_common_subsequence,{},1.000000
033,02,interval_modification,edit_distance,{},0.736842
033,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.440000
033,02,interval_modification,longest_common_subsequence,{},0.736842
033,02,ornamentation,edit_distance,{},0.695652
033,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.481481
033,02,ornamentation,longest_common_subsequence,{},0.695652
033,02,simplification,edit_distance,{},0.684211
033,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.550000
033,02,simplification,longest_common_subsequence,{},0.684211
033,02,transpose,edit_distance,{},1.000000
033,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
033,02,transpose,longest_common_subsequence,{},1.000000
045,01,interval_modification,edit_distance,{},0.769231
045,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.470588
045,01,interval_modification,longest_common_subsequence,{},0.769231
045,01,ornamentation,edit_distance,{},0.709677
045,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.486486
045,01,ornamentation,longest_common_subsequence,{},0.709677
045,01,simplification,edit_distance,{},0.576923
045,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.303030
045,01,simplification,longest_common_subsequence,{},0.576923
045,01,transpose,edit_distance,{},1.000000
045,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
045,01,transpose,longest_common_subsequence,{},1.000000
045,02,interval_modification,edit_distance,{},0.750000
045,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.407407
045,02,interval_modification,longest_common_subsequence,{},0.750000
045,02,ornamentation,edit_distance,{},0.708333
045,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.448276
045,02,ornamentation,longest_common_subsequence,{},0.708333
045,02,simplification,edit_distance,{},0.600000
045,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.375000
045,02,simplification,longest_common_subsequence,{},0.600000
045,02,transpose,edit_distance,{},1.000000
045,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
045,02,transpose,longest_common_subsequence,{},1.000000
047,01,interval_modification,edit_distance,{},0.750000
047,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.437500
047,01,interval_modification,longest_common_subsequence,{},0.750000
047,01,ornamentation,edit_distance,{},0.655172
047,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.416667
047,01,ornamentation,longest_common_subsequence,{},0.655172
047,01,simplification,edit_distance,{},0.541667
047,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.290323
047,01,simplification,longest_common_subsequence,{},0.541667
047,01,transpose,edit_distance,{},1.000000
047,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
047,01,transpose,longest_common_subsequence,{},1.000000
047,02,interval_modification,edit_distance,{},0.736842
047,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.440000
047,02,interval_modification,longest_common_subsequence,{},0.736842
047,02,ornamentation,edit_distance,{},0.695652
047,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.481481
047,02,ornamentation,longest_common_subsequence,{},0.695652
047,02,simplification,edit_distance,{},0.473684
047,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.148148
047,02,simplification,longest_common_subsequence,{},0.473684
047,02,transpose,edit_distance,{},1.000000
047,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
047,02,transpose,longest_common_subsequence,{},1.000000
072,01,interval_modification,edit_distance,{},0.736842
072,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.440000
072,01,interval_modification,longest_common_subsequence,{},0.736842
072,01,ornamentation,edit_distance,{},0.695652
072,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.481481
072,01,ornamentation,longest_common_subsequence,{},0.695652
072,01,simplification,edit_distance,{},0.578947
072,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.347826
072,01,simplification,longest_common_subsequence,{},0.578947
072,01,transpose,edit_distance,{},1.000000
072,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
072,01,transpose,longest_common_subsequence,{},1.000000
072,02,interval_modification,edit_distance,{},0.761905
072,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.481481
072,02,interval_modification,longest_common_subsequence,{},0.761905
072,02,ornamentation,edit_distance,{},0.720000
072,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.466667
072,02,ornamentation,longest_common_subsequence,{},0.720000
072,02,simplification,edit_distance,{},0.571429
072,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.307692
072,02,simplification,longest_common_subsequence,{},0.571429
072,02,transpose,edit_distance,{},1.000000
072,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
072,02,transpose,longest_common_subsequence,{},1.000000
074,01,interval_modification,edit_distance,{},0.740741
074,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.405405
074,01,interval_modification,longest_common_subsequence,{},0.740741
074,01,ornamentation,edit_distance,{},0.718750
074,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.461538
074,01,ornamentation,longest_common_subsequence,{},0.718750
074,01,simplification,edit_distance,{},0.592593
074,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.363636
074,01,simplification,longest_common_subsequence,{},0.592593
074,01,transpose,edit_distance,{},1.000000
074,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
074,01,transpose,longest_common_subsequence,{},1.000000
074,02,interval_modification,edit_distance,{},0.750000
074,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.459459
074,02,interval_modification,longest_common_subsequence,{},0.750000
074,02,ornamentation,edit_distance,{},0.764706
074,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.621622
074,02,ornamentation,longest_common_subsequence,{},0.764706
074,02,simplification,edit_distance,{},0.642857
074,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.305556
074,02,simplification,longest_common_subsequence,{},0.642857
074,02,transpose,edit_distance,{},1.000000
074,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
074,02,transpose,longest_common_subsequence,{},1.000000
081,01,interval_modification,edit_distance,{},0.727273
081,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.354839
081,01,interval_modification,longest_common_subsequence,{},0.727273
081,01,ornamentation,edit_distance,{},0.769231
081,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.483871
081,01,ornamentation,longest_common_subsequence,{},0.769231
081,01,simplification,edit_distance,{},0.590909
081,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.333333
081,01,simplification,longest_common_subsequence,{},0.590909
081,01,transpose,edit_distance,{},1.000000
081,01,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
081,01,transpose,longest_common_subsequence,{},1.000000
081,02,interval_modification,edit_distance,{},0.760000
081,02,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.454545
081,02,interval_modification,longest_common_subsequence,{},0.760000
081,02,ornamentation,edit_distance,{},0.700000
081,02,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.432432
081,02,ornamentation,longest_common_subsequence,{},0.700000
081,02,simplification,edit_distance,{},0.720000
081,02,simplification,interval_ngram_similarity,"{""n"": 2}",0.500000
081,02,simplification,longest_common_subsequence,{},0.720000
081,02,transpose,edit_distance,{},1.000000
081,02,transpose,interval_ngram_similarity,"{""n"": 2}",1.000000
081,02,transpose,longest_common_subsequence,{},1.000000
082,01,interval_modification,edit_distance,{},0.739130
082,01,interval_modification,interval_ngram_similarity,"{""n"": 2}",0.375000
082,01,interval_modification,longest_common_subsequence,{},0.739130
082,01,ornamentation,edit_distance,{},0.714286
082,01,ornamentation,interval_ngram_similarity,"{""n"": 2}",0.484848
082,01,ornamentation,longest_common_subsequence,{},0.714286
082,01,simplification,edit_distance,{},0.608696
082,01,simplification,interval_ngram_similarity,"{""n"": 2}",0.407407
